Breed Name,Detailed Description Link,Dog Size,"Avg. Life Span, years",Tolerates Being Alone,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Size,Easy To Train,Energy Level
Australian Shepherd,https://dogtime.com/dog-breeds/australian-shepherd,Very Large,14,2,4,5,3,2.2,3,5,5
Beagle,https://dogtime.com/dog-breeds/beagle,Medium,12,1,5,5,5,2.8,2,1,4
Bernese Mountain Dog,https://dogtime.com/dog-breeds/bernese-mountain-dog,Very Large,8,1,5,3,5,3.4,5,4,4
Border Collie,https://dogtime.com/dog-breeds/border-collie,Large,14,1,4,3,5,2.4,3,5,5
Boston Terrier,https://dogtime.com/dog-breeds/boston-terrier,Medium,14,3,5,5,4,3,2,4,4
Boxer,https://dogtime.com/dog-breeds/boxer,Very Large,11,1,4,3,4,3.4,3,4,5
Cavalier King Charles Spaniel,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,Medium,12,1,5,5,5,3.2,2,4,3
Chihuahua,https://dogtime.com/dog-breeds/chihuahua,Very Small,14,1,5,2,2,2.6,1,4,3
Cocker Spaniel,https://dogtime.com/dog-breeds/cocker-spaniel,Large,14,1,3,4,3,2.6,2,5,4
Dachshund,https://dogtime.com/dog-breeds/dachshund,Medium,14,3,5,3,1,2.8,1,2,3
French Bulldog,https://dogtime.com/dog-breeds/french-bulldog,Medium,12,1,4,4,4,3,2,4,3
German Shepherd Dog,https://dogtime.com/dog-breeds/german-shepherd-dog,Very Large,12,2,5,2,4,3.4,4,5,5
German Shorthaired Pointer,https://dogtime.com/dog-breeds/german-shorthaired-pointer,Very Large,14,1,5,4,3,3,3,5,5
Golden Retriever,https://dogtime.com/dog-breeds/golden-retriever,Very Large,11,1,5,5,5,3.6,3,5,5
Great Dane,https://dogtime.com/dog-breeds/great-dane,Very Large,8,1,5,5,5,4,5,5,5
Irish Setter,https://dogtime.com/dog-breeds/irish-setter,Very Large,13,2,5,5,5,2.8,4,4,5
Jack Russell Terrier,https://dogtime.com/dog-breeds/jack-russell-terrier,Medium,12,3,4,5,4,3,2,4,5
Labrador Retriever,https://dogtime.com/dog-breeds/labrador-retriever,Very Large,11,2,5,5,5,4.2,4,5,5
Maltese,https://dogtime.com/dog-breeds/maltese,Small,14,1,3,4,2,2.2,1,4,3
Mastiff,https://dogtime.com/dog-breeds/mastiff,Very Large,8,3,5,2,2,3.6,5,3,3
Pomeranian,https://dogtime.com/dog-breeds/pomeranian,Very Small,14,1,2,2,3,2.8,1,4,3
Poodle,https://dogtime.com/dog-breeds/poodle,Large,14,1,5,4,4,1.8,4,5,4
Rottweiler,https://dogtime.com/dog-breeds/rottweiler,Very Large,10,1,4,2,4,4,3,4,4
Shih Tzu,https://dogtime.com/dog-breeds/shih-tzu,Medium,13,3,4,4,5,2.4,1,3,2
Siberian Husky,https://dogtime.com/dog-breeds/siberian-husky,Very Large,14,1,5,5,5,3,3,2,5
Yorkshire Terrier,https://dogtime.com/dog-breeds/yorkshire-terrier,Very Small,14,2,2,3,2,2.2,1,3,5
